Accomplishment
Accountability
Achievement
Action
Activism
Adventure
Affection
Ambition
Autonomy
Challenge
Close relationships
Commitment
Community
Compassion
Competence
Competition
Confidence
Conformity
Control
Coolness under fire
Cooperation
Courage
Creativity
Credibility
Decisiveness
Desires
Economic security
Effectiveness
Efficiency
Enthusiasm
Environmentalism
Excellence
Excitement
Fairness
Faith
Fame
Family
Foresight
Free time
Freedom
Friendships
Growth
Happiness
Health
Helping other people
Helping society
Honesty
Hospitality
Independence
Influence
Inner harmony
Insight
Inspiration
Integrity
Intellectual status
Introspection
Justice
Knowledge
Leadership
Location
Loyalty
Meaningful work
Mentorship
Merit
Money
Movement
Music
Nature
Openness
Order
Patriotism
Peace
Persistance
Personal development
Physical challenge
Pleasure
Power and authority
Privacy
Public service
Purity
Quality
Recognition
Reputation
Responsibility
Romance
Security
Self-knowledge
Self-reliance
Self-respect
Serenity
Sophistication
Spirituality
Stability
Status
Tenacity
Tranquility
Truth
Vibrancy
Volunteering
Wealth
Will-power
Wisdom
